Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
2005	D03_allLanes_P	A06_allLanes_P	B05_plate04	004V	M-1-18	YN49_2	22	YS24_1	J	J22
2010	D03_allLanes_P	E11_allLanes_P	C06_plate13	038T	M-2-18	YV93_2	23	YS24_1	J	J23
2015	D03_allLanes_P	A06_allLanes_P	C05_plate16	052P	M-1-18	YN49_2	22	YS24_1	J	J22
2025	D03_allLanes_P	E11_allLanes_P	C04_plate02	003I	M-1-15	YV93_2	23	YS24_1	J	J23
2035	D03_allLanes_P	E11_allLanes_P	B05_plate26	086I	M-1-18	YV93_2	23	YS24_1	J	J23
2045	D03_allLanes_P	E11_allLanes_P	B06_plate26	103K	M-2-15	YV93_2	23	YS24_1	J	J23
2075	D03_allLanes_P	C04_allLanes_P	C05_plate10	036F	M-1-18	OG35_2	21	YS24_1	J	J21
2085	D03_allLanes_P	E11_allLanes_P	C05_plate09	020Z	M-1-18	YV93_2	23	YS24_1	J	J23
2090	D03_allLanes_P	A06_allLanes_P	C05_plate25	086D	M-1-18	YN49_2	22	YS24_1	J	J22
2100	D03_allLanes_P	A06_allLanes_P	C05_plate13	036X	M-1-18	YN49_2	22	YS24_1	J	J22
2110	D03_allLanes_P	C04_allLanes_P	B05_plate27	086O	M-1-18	OG35_2	21	YS24_1	J	J21
2120	D03_allLanes_P	C04_allLanes_P	C04_plate08	019R	M-1-15	OG35_2	21	YS24_1	J	J21
2175	D06_allLanes_P	D09_allLanes_P	C02_plate21	066Z	L-1-18	YO65_2	4	OC52_1	S	S4
2180	D06_allLanes_P	D09_allLanes_P	C03_plate26	100G	L-2-18	YO65_2	4	OC52_1	S	S4
2190	D06_allLanes_P	D09_allLanes_P	C03_plate08	034D	L-2-18	YO65_2	4	OC52_1	S	S4
2205	D06_allLanes_P	D09_allLanes_P	C01_plate15	047V	L-1-15	YO65_2	4	OC52_1	S	S4
2215	D06_allLanes_P	D09_allLanes_P	C03_plate17	068F	L-2-18	YO65_2	4	OC52_1	S	S4
2225	D06_allLanes_P	B05_allLanes_P	C02_plate05	016O	L-1-18	YG88_2	47	OC52_1	S	S47
2235	D06_allLanes_P	B05_allLanes_P	C02_plate15	048Q	L-1-18	YG88_2	47	OC52_1	S	S47
2245	D06_allLanes_P	B05_allLanes_P	C02_plate12	032Y	L-1-18	YG88_2	47	OC52_1	S	S47
2255	D06_allLanes_P	D09_allLanes_P	C01_plate02	001Q	L-1-15	YO65_2	4	OC52_1	S	S4
2275	D06_allLanes_P	B05_allLanes_P	C02_plate24	082R	L-1-18	YG88_2	47	OC52_1	S	S47
2285	D06_allLanes_P	E09_allLanes_P	C03_plate09	034J	L-2-18	YO66_2	49	OC52_1	S	S49
