Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
1806	D02_allLanes_P	B12_allLanes_P	B01_plate21	081D	L-1-15	YN92_2	12	YJ60_1	F	F12
1820	D02_allLanes_P	E06_allLanes_P	A03_plate03	017B	L-2-15	OC64_2	14	YJ60_1	F	F14
1834	D02_allLanes_P	E06_allLanes_P	A01_plate30	113E	L-1-15	OC64_2	14	YJ60_1	F	F14
1841	D02_allLanes_P	A09_allLanes_P	B02_plate18	066G	L-1-18	YG97_2	13	YJ60_1	F	F13
1869	D02_allLanes_P	E06_allLanes_P	A01_plate04	015F	L-1-15	OC64_2	14	YJ60_1	F	F14
1890	D02_allLanes_P	E04_allLanes_P	B03_plate15	049W	L-2-15	OS12_2	15	YJ60_1	F	F15
1911	D02_allLanes_P	E06_allLanes_P	A01_plate13	047H	L-1-15	OC64_2	14	YJ60_1	F	F14
1918	D02_allLanes_P	E04_allLanes_P	A02_plate09	032E	L-1-18	OS12_2	15	YJ60_1	F	F15
1932	D02_allLanes_P	A09_allLanes_P	B03_plate07	033A	L-2-15	YG97_2	13	YJ60_1	F	F13
1939	D02_allLanes_P	A11_allLanes_P	B02_plate33	114S	L-1-18	YO96_2	11	YJ60_1	F	F11
1974	D02_allLanes_P	E06_allLanes_P	A03_plate28	099U	L-2-15	OC64_2	14	YJ60_1	F	F14
2002	D02_allLanes_P	E06_allLanes_P	A03_plate19	067S	L-2-15	OC64_2	14	YJ60_1	F	F14
2079	D03_allLanes_P	E11_allLanes_P	A06_plate02	005K	M-2-15	YV93_2	23	YS24_1	J	J23
2084	D03_allLanes_P	A06_allLanes_P	A06_plate21	071G	M-2-15	YN49_2	22	YS24_1	J	J22
2094	D03_allLanes_P	C04_allLanes_P	B04_plate17	051S	M-1-15	OG35_2	21	YS24_1	J	J21
2099	D03_allLanes_P	G04_allLanes_P	A06_plate11	037L	M-2-15	YF88_2	25	YS24_1	J	J25
2104	D03_allLanes_P	B07_allLanes_P	A06_plate15	053J	M-2-15	OD53_2	24	YS24_1	J	J24
2109	D03_allLanes_P	G04_allLanes_P	A05_plate12	036P	M-1-18	YF88_2	25	YS24_1	J	J25
2114	D03_allLanes_P	C04_allLanes_P	B04_plate03	003N	M-1-15	OG35_2	21	YS24_1	J	J21
2124	D03_allLanes_P	E11_allLanes_P	A06_plate13	037X	M-2-15	YV93_2	23	YS24_1	J	J23
2129	D03_allLanes_P	C04_allLanes_P	A05_plate17	052T	M-1-18	OG35_2	21	YS24_1	J	J21
2144	D03_allLanes_P	A06_allLanes_P	B03_plate33	101H	M-1-15	YN49_2	22	YS24_1	J	J22
2149	D03_allLanes_P	B07_allLanes_P	A04_plate19	063D	M-1-15	OD53_2	24	YS24_1	J	J24
2154	D03_allLanes_P	A06_allLanes_P	A11_plate33	101X	M-1-15	YN49_2	22	YS24_1	J	J22
2159	D03_allLanes_P	C04_allLanes_P	A04_plate27	085L	M-1-15	OG35_2	21	YS24_1	J	J21
