Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
1591	C11_allLanes_P	B11_allLanes_P	H02_plate20	067X	L-2-15	YO99_2	8	YT86_1	D	D8
1596	C11_allLanes_P	F08_allLanes_P	H02_plate13	049I	L-2-15	YG96_2	9	YT86_1	D	D9
1616	C11_allLanes_P	B11_allLanes_P	H03_plate31	116P	L-2-18	YO99_2	8	YT86_1	D	D8
1621	C11_allLanes_P	B11_allLanes_P	H02_plate12	049C	L-2-15	YO99_2	8	YT86_1	D	D8
1636	C11_allLanes_P	B11_allLanes_P	H02_plate32	115S	L-2-15	YO99_2	8	YT86_1	D	D8
1661	D02_allLanes_P	A11_allLanes_P	H02_plate04	017G	L-2-15	YO96_2	11	YJ60_1	F	F11
1668	D02_allLanes_P	A11_allLanes_P	H03_plate29	116D	L-2-18	YO96_2	11	YJ60_1	F	F11
1675	D02_allLanes_P	E06_allLanes_P	H03_plate20	084B	L-2-18	OC64_2	14	YJ60_1	F	F14
1682	D02_allLanes_P	E06_allLanes_P	H02_plate16	067A	L-2-15	OC64_2	14	YJ60_1	F	F14
1689	D02_allLanes_P	A11_allLanes_P	H01_plate19	066K	L-1-18	YO96_2	11	YJ60_1	F	F11
1696	D02_allLanes_P	A11_allLanes_P	H01_plate22	082C	L-1-18	YO96_2	11	YJ60_1	F	F11
1703	D02_allLanes_P	A09_allLanes_P	H02_plate14	049O	L-2-15	YG97_2	13	YJ60_1	F	F13
1710	D02_allLanes_P	E04_allLanes_P	H03_plate28	100X	L-2-18	OS12_2	15	YJ60_1	F	F15
1724	D02_allLanes_P	A11_allLanes_P	H02_plate02	001R	L-2-15	YO96_2	11	YJ60_1	F	F11
1731	D02_allLanes_P	E04_allLanes_P	H02_plate06	017S	L-2-15	OS12_2	15	YJ60_1	F	F15
1738	D02_allLanes_P	E06_allLanes_P	H02_plate15	049U	L-2-15	OC64_2	14	YJ60_1	F	F14
1745	D02_allLanes_P	A11_allLanes_P	H01_plate04	016F	L-1-18	YO96_2	11	YJ60_1	F	F11
1759	D02_allLanes_P	A09_allLanes_P	H02_plate05	017M	L-2-15	YG97_2	13	YJ60_1	F	F13
1773	D02_allLanes_P	E06_allLanes_P	H02_plate09	033K	L-2-15	OC64_2	14	YJ60_1	F	F14
1787	D02_allLanes_P	A11_allLanes_P	H02_plate07	017Y	L-2-15	YO96_2	11	YJ60_1	F	F11
1794	D02_allLanes_P	E04_allLanes_P	H03_plate11	050A	L-2-18	OS12_2	15	YJ60_1	F	F15
1801	D02_allLanes_P	A11_allLanes_P	H01_plate25	082U	L-1-18	YO96_2	11	YJ60_1	F	F11
1808	D02_allLanes_P	A09_allLanes_P	H01_plate30	098Y	L-1-18	YG97_2	13	YJ60_1	F	F13
1822	D02_allLanes_P	E04_allLanes_P	H01_plate06	099Y	L-2-15	OS12_2	15	YJ60_1	F	F15
1829	D02_allLanes_P	E04_allLanes_P	H02_plate03	017A	L-2-15	OS12_2	15	YJ60_1	F	F15
1843	D02_allLanes_P	E06_allLanes_P	H03_plate05	018Q	L-2-18	OC64_2	14	YJ60_1	F	F14
1885	D02_allLanes_P	E06_allLanes_P	H02_plate19	067R	L-2-15	OC64_2	14	YJ60_1	F	F14
1913	D02_allLanes_P	E06_allLanes_P	H02_plate26	099H	L-2-15	OC64_2	14	YJ60_1	F	F14
1948	D02_allLanes_P	E04_allLanes_P	H03_plate07	034C	L-2-18	OS12_2	15	YJ60_1	F	F15
1955	D02_allLanes_P	A09_allLanes_P	H01_plate26	098A	L-1-18	YG97_2	13	YJ60_1	F	F13
1976	D02_allLanes_P	B12_allLanes_P	H03_plate09	034O	L-2-18	YN92_2	12	YJ60_1	F	F12
1997	D02_allLanes_P	E06_allLanes_P	H02_plate28	099T	L-2-15	OC64_2	14	YJ60_1	F	F14
2039	D03_allLanes_P	E11_allLanes_P	H05_plate11	037K	M-2-15	YV93_2	23	YS24_1	J	J23
2044	D03_allLanes_P	E11_allLanes_P	H04_plate31	102K	M-1-18	YV93_2	23	YS24_1	J	J23
2049	D03_allLanes_P	E11_allLanes_P	H06_plate15	054K	M-2-18	YV93_2	23	YS24_1	J	J23
2054	D03_allLanes_P	A06_allLanes_P	H05_plate05	021B	M-2-15	YN49_2	22	YS24_1	J	J22
2064	D03_allLanes_P	B07_allLanes_P	H05_plate18	063M	M-2-15	OD53_2	24	YS24_1	J	J24
2069	D03_allLanes_P	E11_allLanes_P	H05_plate17	053U	M-2-15	YV93_2	23	YS24_1	J	J23
2079	D03_allLanes_P	B07_allLanes_P	H06_plate11	038M	M-2-18	OD53_2	24	YS24_1	J	J24
2089	D03_allLanes_P	G04_allLanes_P	H04_plate05	004Z	M-1-18	YF88_2	25	YS24_1	J	J25
2094	D03_allLanes_P	E11_allLanes_P	H06_plate21	072H	M-2-18	YV93_2	23	YS24_1	J	J23
2104	D03_allLanes_P	B07_allLanes_P	H06_plate05	022D	M-2-18	OD53_2	24	YS24_1	J	J24
2114	D03_allLanes_P	C04_allLanes_P	G10_plate33	101V	M-1-15	OG35_2	21	YS24_1	J	J21
2119	D03_allLanes_P	E11_allLanes_P	H04_plate27	086M	M-1-18	YV93_2	23	YS24_1	J	J23
2139	D03_allLanes_P	E11_allLanes_P	H06_plate23	072T	M-2-18	YV93_2	23	YS24_1	J	J23
2154	D03_allLanes_P	A06_allLanes_P	H05_plate21	071F	M-2-15	YN49_2	22	YS24_1	J	J22
2159	D03_allLanes_P	E11_allLanes_P	H05_plate16	053O	M-2-15	YV93_2	23	YS24_1	J	J23
2164	D03_allLanes_P	E11_allLanes_P	H05_plate13	037W	M-2-15	YV93_2	23	YS24_1	J	J23
2184	D03_allLanes_P	C04_allLanes_P	H04_plate06	020E	M-1-18	OG35_2	21	YS24_1	J	J21
2214	D06_allLanes_P	C03_allLanes_P	H01_plate11	032P	L-1-18	YJ69_2	48	OC52_1	S	S48
2219	D06_allLanes_P	C03_allLanes_P	H02_plate33	115Y	L-2-15	YJ69_2	48	OC52_1	S	S48
2224	D06_allLanes_P	E09_allLanes_P	H01_plate28	098M	L-1-18	YO66_2	49	OC52_1	S	S49
2234	D06_allLanes_P	D09_allLanes_P	H03_plate02	002Y	L-2-18	YO65_2	4	OC52_1	S	S4
2254	D06_allLanes_P	B05_allLanes_P	H02_plate29	115A	L-2-15	YG88_2	47	OC52_1	S	S47
2264	D06_allLanes_P	B05_allLanes_P	H01_plate10	032J	L-1-18	YG88_2	47	OC52_1	S	S47
2269	D06_allLanes_P	B05_allLanes_P	H03_plate24	084Z	L-2-18	YG88_2	47	OC52_1	S	S47
2274	D06_allLanes_P	C03_allLanes_P	H03_plate23	084T	L-2-18	YJ69_2	48	OC52_1	S	S48
2299	D06_allLanes_P	G07_allLanes_P	H01_plate31	114E	L-1-18	OG58_2	46	OC52_1	S	S46
2304	D06_allLanes_P	D09_allLanes_P	H02_plate18	067M	L-2-15	YO65_2	4	OC52_1	S	S4
2324	D06_allLanes_P	B05_allLanes_P	H01_plate16	048T	L-1-18	YG88_2	47	OC52_1	S	S47
2354	D06_allLanes_P	E09_allLanes_P	H03_plate25	100F	L-2-18	YO66_2	49	OC52_1	S	S49
2364	D06_allLanes_P	B05_allLanes_P	H01_plate14	048H	L-1-18	YG88_2	47	OC52_1	S	S47
2389	D11_allLanes_P	E01_allLanes_P	G06_plate33	104W	M-2-18	YH28_2	28	YV88_1	K	K28
2394	D11_allLanes_P	E01_allLanes_P	H04_plate18	052Y	M-1-18	YH28_2	28	YV88_1	K	K28
2399	D11_allLanes_P	E01_allLanes_P	H04_plate09	020W	M-1-18	YH28_2	28	YV88_1	K	K28
2424	D11_allLanes_P	E01_allLanes_P	H03_plate33	101J	M-1-15	YH28_2	28	YV88_1	K	K28
2429	D11_allLanes_P	E01_allLanes_P	H04_plate12	036O	M-1-18	YH28_2	28	YV88_1	K	K28
2434	D11_allLanes_P	G01_allLanes_P	H04_plate29	086Y	M-1-18	YF30_2	26	YV88_1	K	K26
2449	D11_allLanes_P	E01_allLanes_P	H04_plate02	004H	M-1-18	YH28_2	28	YV88_1	K	K28
2454	D11_allLanes_P	E01_allLanes_P	G06_plate30	104E	M-2-18	YH28_2	28	YV88_1	K	K28
2464	D11_allLanes_P	E07_allLanes_P	H06_plate10	038G	M-2-18	OG51_2	29	YV88_1	K	K29
2469	D11_allLanes_P	E01_allLanes_P	H06_plate04	006X	M-2-18	YH28_2	28	YV88_1	K	K28
2489	D11_allLanes_P	E01_allLanes_P	H06_plate09	038A	M-2-18	YH28_2	28	YV88_1	K	K28
2494	D11_allLanes_P	E01_allLanes_P	G06_plate31	104K	M-2-18	YH28_2	28	YV88_1	K	K28
2504	D11_allLanes_P	G09_allLanes_P	H06_plate03	006R	M-2-18	OF56_2	30	YV88_1	K	K30
