animal	sire	dam
022W	YV93_2	YS24_1
022X	YH28_2	YV88_1
022Y	YN49_2	YS24_1
022Z	YF30_2	YV88_1
023B	YT79_2	OF06_1
023C	YD98_2	YK83_1
023E	OH33_2	OC05_1
023F	OL26_2	OF06_1
023G	OF65_2	OF06_1
023I	OO53_2	YV27_1
023J	YS90_2	OF06_1
023K	YT79_2	OF06_1
023L	OL26_2	YG60_1
023P	OL26_2	YG60_1
023Q	YT79_2	OF06_1
023R	YR82_2	YV27_1
023S	OO53_2	YV27_1
023U	OL26_2	OF06_1
023V	OG53_2	YK96_1
023W	YT79_2	OF06_1
023X	YS90_2	OF06_1
023Y	OL26_2	OF06_1
023Z	YS90_2	OF06_1
024A	OH33_2	OC05_1
024B	YS90_2	OF06_1
024C	YR84_2	YV27_1
024D	OO53_2	YV27_1
024H	YT79_2	OF06_1
024I	OD19_2	YK96_1
024K	OS02_2	YK96_1
024L	YI06_2	OF06_1
024M	YG06_2	YV27_1
024N	YI06_2	YG60_1
024O	OG53_2	YK96_1
024P	YI06_2	YG60_1
024Q	OD19_2	YK96_1
024R	YR54_2	YK96_1
024S	OD19_2	YK96_1
024T	YS90_2	YG60_1
024U	YS90_2	OF06_1
024V	YR84_2	YV27_1
024W	OD19_2	YK96_1
024Z	YR54_2	YK96_1
025A	OF65_2	OF06_1
025C	YT79_2	OF06_1
025D	YR82_2	YV27_1
025E	YS90_2	OF06_1
025F	OL26_2	YG60_1
025G	YR54_2	YK96_1
025H	YG06_2	YV27_1
025I	OO53_2	YV27_1
025K	OF65_2	OF06_1
025L	YT79_2	YG60_1
025N	YS90_2	OF06_1
025O	YG06_2	YV27_1
025P	YI06_2	OF06_1
025Q	OL26_2	OF06_1
025R	YR82_2	YV27_1
025S	YR84_2	YV27_1
025T	OS02_2	YK96_1
025U	YR84_2	YV27_1
025W	OL26_2	OF06_1
025X	YR84_2	YV27_1
025Y	OG53_2	YK96_1
025Z	YI06_2	OF06_1
026A	OL26_2	OF06_1
026C	YS90_2	OF06_1
026D	OD19_2	YK96_1
026E	YS90_2	OF06_1
026G	YR54_2	YK96_1
026H	OL26_2	OF06_1
026I	YS90_2	OF06_1
026J	OO53_2	YV27_1
026K	YR54_2	YK96_1
026L	OF65_2	OF06_1
026M	OH33_2	OC05_1
026N	OG53_2	YK96_1
026O	OL26_2	OF06_1
026P	OH33_2	OC05_1
026Q	OS02_2	YK96_1
026T	OF65_2	OF06_1
026U	YT79_2	YG60_1
026W	YI06_2	OF06_1
026X	OO53_2	YV27_1
026Y	OO53_2	YV27_1
026Z	YR84_2	YV27_1
027A	YD98_2	YK83_1
027C	OV17_2	YP37_1
027G	YD98_2	OF09_1
027H	YX56_2	YP37_1
027I	YD98_2	OF09_1
027J	OL28_2	OF09_1
027L	OD51_2	YL85_1
027M	YD22_2	YP37_1
027N	YD22_2	YP37_1
027O	YX56_2	YP37_1
027P	OV17_2	YP37_1
027R	YD53_2	YK83_1
027U	YD22_2	YP37_1
027X	YD98_2	YK83_1
027Y	YD53_2	OF09_1
027Z	YD98_2	YK83_1
028A	YI44_2	YK83_1
028B	OV17_2	YP37_1
028E	OH33_2	YP37_1
028F	OD43_2	OF09_1
028G	YD98_2	OF09_1
028I	YD53_2	YK83_1
028J	YD22_2	YP37_1
028K	YG95_2	YL85_1
028L	OH33_2	YP37_1
028M	OG61_2	YL85_1
028N	YD98_2	OF09_1
028O	YX56_2	YP37_1
028P	OD43_2	OF09_1
028Q	YX56_2	YP37_1
028R	OH33_2	YP37_1
028S	OV17_2	YP37_1
028T	OV17_2	YP37_1
028V	OL28_2	OF09_1
028W	OV17_2	YP37_1
028X	OD43_2	OF09_1
028Y	YD22_2	YP37_1
028Z	YX56_2	YP37_1
029A	YX56_2	YP37_1
029B	YA99_2	YN45_1
029C	YD22_2	YP37_1
029D	YI44_2	OF09_1
029E	OL28_2	YK83_1
029F	OD43_2	OF09_1
029G	OL28_2	OF09_1
029H	YD98_2	OF09_1
029J	YD98_2	YK83_1
029K	YI44_2	OF09_1
029M	YI44_2	OF09_1
029O	YI44_2	OF09_1
029P	YD98_2	OF09_1
029Q	OH33_2	YP37_1
029R	OD43_2	YK83_1
029T	YX56_2	YP37_1
029U	YD53_2	YK83_1
029V	YI44_2	OF09_1
029W	YD53_2	OF09_1
029X	YD98_2	YK83_1
029Y	YI44_2	YK83_1
029Z	OD43_2	OF09_1
030A	OH33_2	YP37_1
030B	OD51_2	YN45_1
030C	YD53_2	OF09_1
030E	YD98_2	OF09_1
030G	OD43_2	OF09_1
030H	OH33_2	YP37_1
030I	YD53_2	YK83_1
030J	YD22_2	YP37_1
030K	OG61_2	YL85_1
030L	OH33_2	YP37_1
030M	YI44_2	YK83_1
030N	OL28_2	YK83_1
030O	OL28_2	OF09_1
030P	YD53_2	YK83_1
030Q	OH33_2	YP37_1
030R	OD43_2	YK83_1
030S	OL28_2	YK83_1
030T	OD43_2	OF09_1
030U	OH33_2	YP37_1
030V	OD51_2	YL85_1
030W	OL28_2	YK83_1
030X	OH33_2	YP37_1
030Y	YD53_2	OF09_1
031A	OH34_2	OF45_1
031B	YO96_2	YG81_1
031C	YO65_2	OC52_1
031D	YJ48_2	OG13_1
031E	OH34_2	OF45_1
031F	YO96_2	YJ60_1
031G	OS12_2	YJ60_1
031H	OH34_2	OG13_1
031I	OG59_2	YT86_1
031J	YO96_2	YG81_1
031K	OH34_2	OF45_1
031L	OH34_2	OF45_1
031M	YG97_2	YJ60_1
031N	OG58_2	YX87_1
031O	YG88_2	OC52_1
031P	OG59_2	YT86_1
031Q	YO96_2	YJ60_1
031R	OC64_2	YG81_1
031S	OC64_2	YG81_1
031T	OS12_2	YG81_1
031U	OC64_2	YG81_1
031V	OC64_2	YJ60_1
031W	OH34_2	OF45_1
031X	OC64_2	YG81_1
031Y	YG97_2	YJ60_1
031Z	YJ88_2	YT86_1
032A	YO96_2	YJ60_1
032B	OC64_2	YG81_1
032C	OC64_2	YG81_1
032D	YN92_2	YG81_1
032E	OS12_2	YJ60_1
032F	OH34_2	OF45_1
032G	OS12_2	YJ60_1
032H	YG88_2	OC52_1
032I	OC64_2	YJ60_1
032J	YG88_2	OC52_1
032K	YJ48_2	OF45_1
032L	OS12_2	YG81_1
032M	YG88_2	OC52_1
032N	YG88_2	OC52_1
032O	YG88_2	YX87_1
032P	YJ69_2	OC52_1
032Q	OD42_2	YS77_1
032R	OS12_2	YG81_1
032S	YO96_2	YJ60_1
032T	YG88_2	OC52_1
032U	OH34_2	OF45_1
032V	YJ48_2	OF45_1
032W	YO96_2	YG81_1
032X	OH34_2	OG13_1
032Y	YG88_2	OC52_1
032Z	OC64_2	YG81_1
033A	YG97_2	YJ60_1
033B	OH34_2	OG13_1
033C	OG59_2	YT86_1
033D	OD42_2	OS14_1
033E	YO99_2	YT86_1
033G	YO96_2	YG81_1
033H	OC64_2	YG81_1
033I	YG88_2	YX87_1
033J	OC64_2	YG81_1
033K	OC64_2	YJ60_1
033L	OD42_2	YS77_1
033M	OC64_2	YJ60_1
033O	OC64_2	YG81_1
033P	OH34_2	OF45_1
033Q	OS12_2	YG81_1
033R	YG97_2	YG81_1
033S	OC64_2	YJ60_1
033T	OG58_2	OC52_1
033U	OD42_2	YS77_1
033V	YJ88_2	YT86_1
033W	YJ69_2	YX87_1
033X	YJ88_2	YT86_1
033Y	YO99_2	YT86_1
033Z	OS12_2	YJ60_1
034A	OS12_2	YJ60_1
034C	OS12_2	YJ60_1
034D	YO65_2	OC52_1
034E	YT35_2	YT86_1
034F	YO66_2	OC52_1
034H	OC64_2	YG81_1
034I	OH34_2	OF45_1
034J	YO66_2	OC52_1
034K	OG59_2	YT86_1
034L	OG58_2	OC52_1
034M	YO99_2	YT86_1
034N	OH34_2	OG13_1
034O	YN92_2	YJ60_1
034P	OH34_2	OG13_1
034Q	OS12_2	YJ60_1
034R	OS12_2	YJ60_1
034S	OC64_2	YG81_1
034T	OD42_2	OS14_1
034U	OG58_2	YX87_1
034V	OH34_2	OG13_1
034W	YJ48_2	OG13_1
034X	OH34_2	OF45_1
034Y	YG88_2	YX87_1
034Z	YO65_2	OC52_1
035A	YV93_2	YS24_1
035B	OG51_2	YV88_1
035C	YV94_2	OG13_1
035D	YV93_2	YR31_1
035F	YN49_2	YS24_1
035G	YF30_2	YX21_1
035H	YV94_2	OG13_1
035I	OD53_2	YS24_1
035J	OF56_2	YV88_1
035L	YF88_2	YS24_1
035M	YN49_2	YS24_1
035N	YN49_2	YR31_1
035O	OF56_2	YX21_1
035P	YL69_2	OG13_1
035Q	OD53_2	YR31_1
035R	YF30_2	YV88_1
035S	YV93_2	YS24_1
035T	YJ88_2	YT86_1
035U	OJ16_2	OG13_1
035V	YL69_2	OG13_1
035W	YV94_2	OF45_1
035X	YN49_2	YR31_1
035Y	OF56_2	YX21_1
036A	YV94_2	OG13_1
036B	YN49_2	YR31_1
036C	OF56_2	YV88_1
036D	OJ16_2	OF45_1
036E	YN49_2	YS24_1
036F	OG35_2	YS24_1
036G	OG35_2	YR31_1
036H	OG51_2	YV88_1
036J	OD53_2	YS24_1
036K	YF88_2	YS24_1
036L	YV94_2	OF45_1
036N	YH28_2	YX21_1
036O	YH28_2	YV88_1
036P	YF88_2	YS24_1
036R	OJ16_2	OF45_1
036S	YV94_2	OF45_1
036T	YF88_2	YR31_1
036U	YH28_2	YX21_1
036V	YV93_2	YS24_1
036W	OF56_2	YV88_1
036X	YN49_2	YS24_1
